coin_name,current_price_usd,24h_high_usd,24h_low_usd,24h_trade_volume_usd,market_cap_usd,market_change_percentage_24h,market_rank,circulating_supply,total_supply,last_updated,retrieval_time,rolling_average,predicted_price,ds
Bitcoin,26066,26248,26024,8931953419,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:29:02,8/20/2023 16:29:24,,,
Litecoin,64.42,65.1,63.64,415280496,4737112442,-0.05208,16,73562339.48,84000000,8/20/2023 16:28:56,8/20/2023 16:29:26,,,
Ripple,0.537797,0.551415,0.515148,1321119180,28413361070,3.60795,5,52841868447,99988501123,8/20/2023 16:29:11,8/20/2023 16:30:18,,,
Bitcoin,26084,26248,26024,9066530640,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:30:55,8/20/2023 16:31:30,,,
Ethereum,1669.41,1692.84,1663.28,7931141328,200628951972,-0.78224,2,120211597,120211597,8/20/2023 16:31:13,8/20/2023 16:31:58,,,
Bitcoin,26084,26248,26024,9066530640,507286779880,-0.36628,1,19463025,21000000,8/20/2023 16:30:55,8/20/2023 16:32:21,,,
Ethereum,1669.21,1692.84,1663.28,7916227030,200680666316,-0.68382,2,120211597,120211597,8/20/2023 16:32:14,8/20/2023 16:33:11,,,
Bitcoin,26066,26248,26024,8964046471,507499466213,-0.24849,1,19463043,21000000,8/20/2023 16:32:59,8/20/2023 16:33:59,,,
Ethereum,1669,1692.84,1663.28,7907230764,200680666316,-0.68382,2,120211597,120211597,8/20/2023 16:33:16,8/20/2023 16:34:24,,,
Bitcoin,26065,26248,26024,8813372126,507499466213,-0.24849,1,19463043,21000000,8/20/2023 16:34:00,8/20/2023 16:34:47,,,
Ethereum,1669.02,1692.84,1663.28,7853095394,200680666316,-0.68382,2,120211597,120211597,8/20/2023 16:34:17,8/20/2023 16:34:48,,,
Ripple,0.537922,0.551415,0.515148,1320180265,28424321312,3.65373,5,52841868447,99988501123,8/20/2023 16:34:09,8/20/2023 16:34:51,,,
Ripple,0.537922,0.551415,0.515148,1320180265,28424321312,3.65373,5,52841868447,99988501123,8/20/2023 16:34:09,8/20/2023 16:35:16,,,
Litecoin,64.45,65.1,63.64,412944224,4739700421,-0.06563,16,73562426.98,84000000,8/20/2023 16:35:06,8/20/2023 16:35:39,,,
Bitcoin,26071,26248,26024,8994505456,507499466213,-0.24849,1,19463043,21000000,8/20/2023 16:36:03,8/20/2023 16:36:25,,,
Ethereum,1669.26,1692.84,1663.28,7903163134,200680666316,-0.68382,2,120211597,120211597,8/20/2023 16:37:22,8/20/2023 16:37:47,,,
Litecoin,64.43,65.1,63.64,405427441,4739700421,-0.06563,16,73562426.98,84000000,8/20/2023 16:37:09,8/20/2023 16:37:48,,,
Bitcoin,26073,26248,26024,8990567956,507499466213,-0.24849,1,19463043,21000000,8/20/2023 16:37:04,8/20/2023 16:38:11,,,
Litecoin,64.43,65.1,63.64,405427441,4739700421,-0.06563,16,73562426.98,84000000,8/20/2023 16:37:09,8/20/2023 16:38:13,,,
Ripple,0.537338,0.551415,0.515148,1318310326,28424321312,3.65373,5,52841868447,99988501123,8/20/2023 16:39:17,8/20/2023 16:39:32,,,
Bitcoin,26066,26248,26024,8942773103,507499466213,-0.24849,1,19463043,21000000,8/20/2023 16:38:57,8/20/2023 16:39:54,,,
Litecoin,64.41,65.1,63.64,403533414,4739700421,-0.06563,16,73562426.98,84000000,8/20/2023 16:39:13,8/20/2023 16:39:56,,,
Litecoin,64.4,65.1,63.64,403725404,4739700421,-0.06563,16,73562426.98,84000000,8/20/2023 16:40:15,8/20/2023 16:40:20,,,
Bitcoin,26065,26248,26024,8928490717,507499466213,-0.24849,1,19463043,21000000,8/20/2023 16:39:59,8/20/2023 16:40:42,,,
Litecoin,64.4,65.1,63.64,403671497,4737490119,-0.19693,16,73562426.98,84000000,8/20/2023 16:42:18,8/20/2023 16:42:25,,,
Bitcoin,26056,26248,26024,7375463138,507326853482,-0.25951,1,19463043,21000000,8/20/2023 16:43:05,8/20/2023 16:43:40,,,
Bitcoin,26056,26248,26024,7375463138,507326853482,-0.25951,1,19463043,21000000,8/20/2023 16:43:05,8/20/2023 16:44:16,,,
Bitcoin,26058,26248,26024,8939787646,507326853482,-0.25951,1,19463043,21000000,8/20/2023 16:44:07,8/20/2023 16:44:42,,,
Ethereum,1668.4,1692.84,1663.28,7685759059,200589599811,-0.75852,2,120211597,120211597,8/20/2023 16:44:23,8/20/2023 16:44:44,,,
Ethereum,1668.4,1692.84,1663.28,7685759059,200589599811,-0.75852,2,120211597,120211597,8/20/2023 16:44:23,8/20/2023 16:45:47,,,
Litecoin,64.46,65.1,63.64,431684769,4740617665,0.68922,16,73562276.98,84000000,8/20/2023 15:46:03,8/20/2023 15:46:51,,,
Bitcoin,26065,26248,26024,8687314330,507463419251,0.16166,1,19462981,21000000,8/20/2023 15:44:41,8/20/2023 15:45:53,,,
Litecoin,64.45,65.1,63.64,431075435,4740617665,0.68922,16,73562276.98,84000000,8/20/2023 15:45:01,8/20/2023 15:46:23,,,
Ripple,0.538796,0.551415,0.515148,1389303856,28514102533,4.65119,5,52841868447,99988501123,8/20/2023 15:45:33,8/20/2023 15:45:57,,,
Bitcoin,26065,26248,26024,5679484830,507463419251,0.16166,1,19462981,21000000,8/20/2023 15:45:43,8/20/2023 15:46:21,,,
Bitcoin,26074,26248,26024,4742394147,507463419251,0.16166,1,19462981,21000000,8/20/2023 15:46:45,8/20/2023 15:47:13,,,
Ripple,0.538778,0.551415,0.515148,1389126665,28514102533,4.65119,5,52841868447,99988501123,8/20/2023 15:46:34,8/20/2023 15:47:16,,,
Litecoin,64.47,65.1,63.64,431740261,4740617665,0.68922,16,73562276.98,84000000,8/20/2023 15:47:05,8/20/2023 15:47:40,,,
Ripple,0.539044,0.551415,0.515148,1387963060,28514102533,4.65119,5,52841868447,99988501123,8/20/2023 15:47:26,8/20/2023 15:48:32,,,
Bitcoin,26070,26248,26024,9321276368,507463419251,0.16166,1,19462981,21000000,8/20/2023 15:49:49,8/20/2023 15:50:37,,,
Litecoin,64.51,65.1,63.64,430180310,4740617665,0.68922,16,73562276.98,84000000,8/20/2023 15:49:59,8/20/2023 15:50:42,,,
Litecoin,64.49,65.1,63.64,429384481,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:51:02,8/20/2023 15:52:02,,,
Litecoin,64.47,65.1,63.64,428307340,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:52:04,8/20/2023 15:52:27,,,
Ripple,0.538381,0.551415,0.515148,1375674371,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:52:33,8/20/2023 15:52:58,,,
Ethereum,1669.46,1692.84,1663.28,8473374405,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:53:57,8/20/2023 15:55:02,,,
Bitcoin,26064,26248,26024,8191971389,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:55:49,8/20/2023 15:56:19,,,
Ethereum,1669.54,1692.84,1663.28,8457383422,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:56:00,8/20/2023 15:56:48,,,
